Sample    Real    Imaginary   Mod
0 152 2.75509e-14 152
1 152 -3.18366e-13 152
2 152 -2.19294e-13 152
3 153 -4.51389e-13 153
4 153 -4.93689e-13 153
5 152 -1.11873e-13 152
6 152 2.62151e-13 152
7 151 5.28754e-15 151
8 153 1.74767e-13 153
9 152 2.49349e-13 152
10 152 -5.70498e-14 152
11 152 -7.43039e-13 152
12 152 3.40629e-13 152
13 153 1.62801e-13 153
14 151 -2.07327e-13 151
15 154 -4.97029e-13 154
16 153 -8.36266e-13 153
17 153 -1.11261e-12 153
18 152 -9.23928e-14 152
19 152 -2.0037e-13 152
20 170 1.73097e-13 170
21 625 3.21789e-12 625
22 1762 -1.28985e-11 1762
23 2731 -9.30969e-12 2731
24 2577 7.5918e-13 2577
25 1664 6.43939e-12 1664
26 936 8.28196e-12 936
27 584 -2.74896e-12 584
28 431 -9.48975e-13 431
29 353 9.03335e-13 353
30 300 -2.71807e-12 300
31 262 -1.60046e-12 262
32 262 -4.46102e-13 262
33 234 2.42949e-13 234
34 199 4.07419e-13 199
35 179 1.45908e-12 179
36 177 1.53339e-13 177
37 176 1.45352e-12 176
38 175 -1.53784e-12 175
39 176 -3.33393e-13 176
40 175 7.16323e-13 175
41 172 1.74211e-13 172
42 172 2.55277e-12 172
43 173 -6.59829e-13 173
44 -6.3406e-12 -5.87195e-14 6.34087e-12
45 1.0063e-12 1.58626e-14 1.00643e-12
46 -3.63338e-12 -4.69478e-13 3.66358e-12
47 2.05045e-12 -1.52782e-13 2.05614e-12
48 -1.11094e-12 7.02408e-13 1.31437e-12
49 -3.39293e-12 2.89423e-13 3.40525e-12
50 1.38701e-12 -5.45452e-14 1.38808e-12
51 -2.06604e-12 2.33097e-12 3.11479e-12
52 2.35101e-12 6.24486e-13 2.43253e-12
53 -3.11687e-14 -8.81628e-13 8.82179e-13
54 -2.84971e-12 1.023e-12 3.02776e-12
55 9.7736e-13 -4.0074e-14 9.78181e-13
56 -3.62892e-13 1.87012e-13 4.08245e-13
57 -1.9614e-12 2.14897e-12 2.90949e-12
58 -6.90163e-14 -4.32465e-13 4.37938e-13
59 -1.80778e-12 -1.20111e-12 2.17042e-12
60 -2.81409e-12 2.51576e-13 2.82531e-12
61 4.18551e-13 1.20222e-12 1.273e-12
62 -2.15064e-12 -3.49534e-13 2.17886e-12
63 1.08868e-12 3.64005e-13 1.14792e-12
64 -5.40999e-13 -3.45082e-14 5.42098e-13
65 -2.09943e-12 1.10092e-12 2.37058e-12
66 -2.73839e-13 -2.77735e-13 3.90031e-13
67 -1.50723e-12 8.33762e-13 1.72247e-12
68 6.37622e-12 -1.7922e-13 6.37874e-12
69 1.01521e-12 9.27268e-13 1.37494e-12
70 -2.00147e-12 8.96099e-14 2.00348e-12
71 1.33803e-12 6.16694e-13 1.4733e-12
72 3.80258e-12 1.17884e-12 3.98111e-12
73 -1.47383e-12 -4.84227e-13 1.55134e-12
74 6.65674e-13 -3.21705e-12 3.2852e-12
75 -3.29497e-13 2.18181e-13 3.95185e-13
76 -3.16139e-12 -3.02781e-13 3.17586e-12
77 -2.60481e-13 -9.50644e-13 9.85685e-13
78 -1.22003e-12 4.6753e-14 1.22093e-12
79 1.02857e-12 -1.14545e-12 1.53948e-12
80 -9.66229e-13 5.94431e-13 1.13444e-12
81 -3.11464e-12 -4.36361e-13 3.14506e-12
82 -1.5473e-12 1.0063e-12 1.84575e-12
83 2.22633e-14 -1.64081e-12 1.64096e-12
84 8.79402e-13 0 8.79402e-13
85 8.54912e-13 -2.15175e-12 2.31536e-12
86 -5.7662e-13 -6.12242e-13 8.4103e-13
87 -2.11724e-12 -2.53802e-13 2.1324e-12
88 -3.21705e-12 -2.44897e-14 3.21714e-12
89 -2.49349e-13 -1.63858e-12 1.65744e-12
90 1.29573e-12 -3.25045e-12 3.49919e-12
91 -2.07049e-13 -9.23928e-13 9.46844e-13
92 -2.82967e-12 1.10203e-12 3.03669e-12
93 -3.90944e-12 2.60704e-12 4.69898e-12
94 2.06158e-12 2.56919e-12 3.29406e-12
95 3.42855e-13 -1.15547e-12 1.20526e-12
96 -1.98812e-12 1.4883e-12 2.48348e-12
97 -3.44859e-12 -2.12726e-12 4.05191e-12
98 -1.56289e-12 8.11498e-13 1.76101e-12
99 3.69571e-13 -1.84786e-12 1.88445e-12
100 -2.53357e-12 3.46195e-13 2.55711e-12
101 -1.64526e-12 -2.05936e-12 2.63588e-12
102 -1.48274e-12 -3.7625e-13 1.52973e-12
103 1.71428e-13 -6.05563e-12 6.05805e-12
104 3.14358e-12 6.79032e-13 3.21608e-12
105 1.20667e-12 2.61594e-13 1.2347e-12
106 -1.23784e-12 5.43225e-13 1.35179e-12
107 -1.51391e-12 1.23116e-12 1.95133e-12
108 -1.48051e-12 1.28905e-12 1.96305e-12
109 -1.84118e-12 3.78477e-13 1.87968e-12
110 1.89461e-12 -1.27235e-12 2.2822e-12
111 2.0037e-13 -9.01665e-13 9.2366e-13
112 2.12615e-12 -2.47123e-12 3.25998e-12
113 1.02411e-13 3.37623e-12 3.37779e-12
