Sample    Real    Imaginary   Mod
0 7065.67 0 7065.67
1 6983.93 -1009.4 7056.5
2 6741.3 -1990.71 7029.09
3 6345.44 -2916.85 6983.74
4 5808.75 -3762.7 6920.94
5 5147.92 -4505.92 6841.38
6 4383.27 -5127.78 6745.9
7 3537.94 -5613.68 6635.54
8 2637.06 -5953.61 6511.49
9 1706.74 -6142.37 6375.08
10 773.231 -6179.56 6227.75
11 -138.107 -6069.5 6071.07
12 -1003.58 -5820.81 5906.69
13 -1801.92 -5445.95 5736.31
14 -2514.94 -4960.61 5561.71
15 -3127.94 -4382.98 5384.65
16 -3630.04 -3732.95 5206.92
17 -4014.29 -3031.35 5030.27
18 -4277.65 -2299.16 4856.38
19 -4420.78 -1556.79 4686.88
20 -4447.7 -823.419 4523.28
21 -4365.41 -116.46 4366.97
22 -4183.31 548.842 4219.16
23 -3912.69 1159.71 4080.94
24 -3566.11 1705.97 3953.16
25 -3156.88 2180.11 3836.51
26 -2698.51 2577.14 3731.44
27 -2204.26 2894.45 3638.21
28 -1686.74 3131.5 3556.88
29 -1157.68 3289.56 3487.32
30 -627.665 3371.3 3429.23
31 -106.105 3380.5 3382.17
32 398.823 3321.7 3345.56
33 880.091 3199.93 3318.75
34 1331.71 3020.47 3301.02
35 1748.6 2788.69 3291.56
36 2126.37 2509.94 3289.57
37 2461.22 2189.54 3294.19
38 2749.75 1832.78 3304.57
39 2988.87 1444.97 3319.83
40 3175.75 1031.6 3339.1
41 3307.8 598.372 3361.48
42 3382.73 151.365 3386.11
43 3398.65 -302.901 3412.12
44 3354.2 -757.407 3438.65
45 3248.73 -1204.64 3464.88
46 3082.46 -1636.62 3490
47 2856.72 -2045.04 3513.27
48 2574.03 -2421.45 3533.98
49 2238.29 -2757.4 3551.5
50 1854.83 -3044.81 3565.28
51 1430.43 -3276.18 3574.84
52 973.232 -3444.96 3579.79
53 492.653 -3545.79 3579.85
54 -0.854002 -3574.83 3574.83
55 -496.057 -3529.97 3564.65
56 -981.274 -3411 3549.34
57 -1444.73 -3219.73 3529.01
58 -1874.98 -2960 3503.88
59 -2261.23 -2637.67 3474.26
60 -2593.82 -2260.39 3440.53
61 -2864.47 -1837.47 3403.16
62 -3066.65 -1379.54 3362.66
63 -3195.76 -898.199 3319.59
64 -3249.31 -405.656 3274.53
65 -3226.96 85.7049 3228.1
66 -3130.53 563.725 3180.88
67 -2963.88 1016.87 3133.47
68 -2732.74 1434.6 3086.41
69 -2444.43 1807.66 3040.21
70 -2107.61 2128.36 2995.32
71 -1731.91 2390.71 2952.12
72 -1327.58 2590.58 2910.94
73 -905.131 2725.65 2872.01
74 -474.984 2795.45 2835.51
75 -47.1701 2801.15 2801.55
76 368.953 2745.48 2770.16
77 764.916 2632.45 2741.33
78 1133.31 2467.17 2715.01
79 1467.86 2255.53 2691.1
80 1763.53 2004.02 2669.48
81 2016.46 1719.45 2650.02
82 2223.92 1408.74 2632.56
83 2384.25 1078.77 2616.94
84 2496.73 736.187 2603.01
85 2561.48 387.363 2590.6
86 2579.27 38.2845 2579.55
87 2551.48 -305.451 2569.7
88 2479.96 -638.647 2560.87
89 2366.94 -956.481 2552.89
90 2215.01 -1254.48 2545.58
91 2027.06 -1528.48 2538.74
92 1806.29 -1774.62 2532.19
93 1556.24 -1989.3 2525.71
94 1280.77 -2169.21 2519.1
95 984.133 -2311.36 2512.15
96 670.981 -2413.12 2504.66
97 346.374 -2472.31 2496.45
98 15.7751 -2487.29 2487.34
99 -314.986 -2457.08 2477.18
100 -639.781 -2381.4 2465.85
101 -952.278 -2260.88 2453.25
102 -1246.08 -2097.04 2439.32
103 -1514.87 -1892.42 2424.06
104 -1752.6 -1650.56 2407.48
105 -1953.7 -1376.03 2389.65
106 -2113.23 -1074.35 2370.65
107 -2227.13 -751.885 2350.63
108 -2292.34 -415.731 2329.73
109 -2306.97 -73.5082 2308.14
110 -2270.43 266.844 2286.06
111 -2183.45 597.303 2263.68
112 -2048.13 910.018 2241.2
113 -1867.87 1197.56 2218.8
114 -1647.32 1453.17 2196.67
115 -1392.19 1670.96 2174.93
116 -1109.12 1846.15 2153.7
117 -805.419 1975.15 2133.05
118 -488.857 2055.71 2113.03
119 -167.377 2086.95 2093.65
120 151.14 2069.35 2074.86
121 459.136 2004.7 2056.61
122 749.598 1896.01 2038.81
123 1016.25 1747.33 2021.37
124 1253.74 1563.58 2004.16
125 1457.7 1350.38 1987.06
126 1624.88 1113.79 1969.96
127 1753.13 860.122 1952.76
128 1841.39 595.74 1935.36
129 1889.63 326.841 1917.69
130 1898.77 59.3115 1899.69
131 1870.54 -201.414 1881.35
132 1807.35 -450.451 1862.64
133 1712.19 -683.532 1843.59
134 1588.43 -897.039 1824.22
135 1439.7 -1088.01 1804.58
136 1269.83 -1254.11 1784.73
137 1082.68 -1393.59 1764.73
138 882.08 -1505.23 1744.64
139 671.815 -1588.3 1724.54
140 455.546 -1642.48 1704.48
141 236.812 -1667.79 1684.52
142 19.0291 -1664.6 1664.7
143 -194.509 -1633.53 1645.07
144 -400.617 -1575.52 1625.66
145 -596.213 -1491.76 1606.49
146 -778.317 -1383.71 1587.58
147 -944.063 -1253.15 1568.96
